Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006415~translational termination	65	36.312849162011176	3.897674370543374E-60	P24000, P26783, P32905, P36105, P87262, P41058, P41057, P14120, Q3E754, P02407, P0C2H8, P46784, P0C2H7, P0C2H6, P40525, P02400, P25443, P0CX25, P48164, P04449, P05739, P38711, Q02326, P07280, P0CX33, P0CX31, P26786, P04650, P26785, P0CX37, P05740, P04456, P05744, P26321, P53221, P05749, P49166, Q08745, Q04067, P38701, P16521, P0CX45, P0CX41, Q02753, P23248, Q12690, P05750, P0CX49, P05756, P05755, P05759, P33442, P40212, P0CX55, Q01855, P0CX51	178	150	5677	13.820411985018726	1.457730214583222E-57	1.457730214583222E-57	1.333004634725834E-57
GOTERM_BP_DIRECT	GO:0002181~cytoplasmic translation	63	35.19553072625698	9.612263557920518E-55	P24000, P32905, P36105, P87262, P41058, P41057, P14120, Q3E754, P02407, P0C2H8, P46784, P0C2H7, P0C2H6, P40525, P02400, P0CX25, P48164, P04449, P05739, P38711, Q02326, P07280, P0CX33, P0CX31, P26786, P04650, P26785, P0CX37, P05740, P04456, P05744, P26321, P53221, P05749, P49166, Q08745, P38701, P0CX45, P0CX41, Q02753, P23248, Q12690, P05750, P0CX49, P05756, P05318, P05759, P33442, P10622, P40212, P38860, P0CX55, Q01855, P0CX51	178	161	5677	12.479970688812896	3.594986570662274E-52	1.797493285331137E-52	1.6436970684044085E-52
GOTERM_BP_DIRECT	GO:0006412~translation	71	39.66480446927375	8.919829217650618E-48	P24000, P26783, P32905, P36105, P32387, P87262, P41058, P41057, Q3E754, P02407, P0C2H8, P0C2H7, P0C2H6, P40525, P25443, P0CX25, P23301, P48164, P04449, P05739, P32497, P38711, Q02326, P07280, P0CX33, P0CX31, P09064, P26786, P04650, P26785, P0CX37, P05740, Q12522, P04456, P05744, P26321, P53221, P05749, P49166, Q04067, P38705, P39677, P38701, P16521, P20459, P0CX45, P0CX41, Q02753, P23248, Q12690, P05750, P0CX49, P05756, P05755, P05759, P33442, P40212, P38860, P0CX55, Q01855, Q07915, P0CX51	178	278	5677	8.145400533505779	3.3360161274013314E-45	1.1120053758004437E-45	1.0168605308121705E-45
GOTERM_BP_DIRECT	GO:0042254~ribosome biogenesis	39	21.787709497206702	7.220408482967326E-21	P53742, Q12522, P32905, P87262, P53941, Q05946, P38333, P20435, P20436, P53927, Q06679, P40525, P25443, P20434, P40422, P32899, P48164, P05755, P05759, P33201, Q02892, Q02354, P39744, P38882, P07280, P38344, Q01855, Q06506, P40991, Q07915, Q12080, Q04500, Q04305, P25635, P26786, P43586, Q12460, P0CX37	178	195	5677	6.378651685393259	2.70043277262978E-18	6.75108193157445E-19	6.173449252937064E-19
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	37	20.670391061452513	1.4000073694470542E-17	Q12522, Q12464, P05744, Q08162, P32905, P38801, P38786, P53941, Q05946, P38333, P14120, Q3E754, P38351, P53927, Q06679, P38792, P25443, P48240, P32899, P48164, P05755, P53256, P33201, Q02892, Q02354, P38882, Q06506, P40991, Q12080, Q04500, Q04305, P25635, P25359, P26786, Q12460, P0CX37	178	214	5677	5.5142549616717424	5.2360275617319824E-15	1.0472055123463965E-15	9.576050407017852E-16
GOTERM_BP_DIRECT	GO:0000462~maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	18	10.05586592178771	4.4584862665238124E-11	P05756, P05755, P33442, Q02354, P38711, P38701, Q05946, P38882, P0CX31, Q04305, P0CX51, Q06679, P25635, P23248, P0CX37	178	73	5677	7.864091118977989	1.6674749248046794E-8	2.7791231061331765E-9	2.541337171918573E-9
GOTERM_BP_DIRECT	GO:0006407~rRNA export from nucleus	10	5.58659217877095	8.686560241812315E-10	P0CX55, P07280, Q01855, P26783, P32905, Q08745, P46784, P05750, P25443	178	18	5677	17.71847690387016	3.2487730483587995E-7	4.6411050434825793E-8	4.244005146714016E-8
GOTERM_BP_DIRECT	GO:0000028~ribosomal small subunit assembly	10	5.58659217877095	3.021497332205932E-8	P07280, Q01855, P26783, P32905, P02407, P05759, Q08745, P25635, P46784, P38711	178	25	5677	12.757303370786516	1.1300336336117489E-5	1.4125500028062732E-6	1.2916901095180359E-6
GOTERM_BP_DIRECT	GO:0042273~ribosomal large subunit biogenesis	13	7.262569832402235	7.926709813993493E-8	Q12522, P05744, P53221, P36105, P33201, Q02892, P39744, P0CX45, P38344, P40991, Q07915, P53927, P43586	178	55	5677	7.538406537282941	2.9645456432025874E-5	3.2939883004817403E-6	3.012149729317527E-6
GOTERM_BP_DIRECT	GO:0001172~transcription, RNA-templated	7	3.910614525139665	6.677136576180485E-7	P20435, P20436, P34087, P16370, P20433, P20434, P40422	178	12	5677	18.60440074906367	2.4969381261985557E-4	2.497249079491501E-5	2.283580709053726E-5
