Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0006413~translational initiation	21	6.481481481481481	1.6153478280703902E-13	P06634, P25294, P39935, P12754, Q04067, P38912, Q05775, P32497, P34167, P39936, P38249, P20459, P38431, P39730, P07260, P09032, P10081, P40217, P06103, P22147	315	48	5677	7.884722222222222	1.455452425247472E-10	1.4554283930914215E-10	1.419890740873873E-10
GOTERM_BP_DIRECT	GO:0042254~ribosome biogenesis	39	12.037037037037036	3.3495237294109303E-12	P53742, P07703, P32905, P36049, Q06344, Q08962, Q08444, Q04660, Q08287, P40024, P38333, P20435, P42945, P40007, Q12055, Q99207, P40422, Q12136, P53276, Q12754, P47077, P40160, Q01560, P33201, Q07623, Q02892, P32892, Q05022, P20448, P35194, P40991, P20447, P34241, P40010, Q03532, Q04225, Q08208, P53261, P24783	315	195	5677	3.604444444444445	3.0179381216299817E-9	7.857823578259543E-10	7.665956631842551E-10
GOTERM_BP_DIRECT	GO:0006417~regulation of translation	21	6.481481481481481	3.415791350182393E-12	P04147, P23594, P33309, P39935, P12754, P39517, P33892, P39936, P53327, Q08421, Q04373, P43535, P38199, P40850, P36041, Q08925, P07260, P09032, Q12034, P25655, P25567	315	55	5677	6.881212121212121	3.0776566850576614E-9	7.857823578259543E-10	7.665956631842551E-10
GOTERM_BP_DIRECT	GO:0006364~rRNA processing	41	12.654320987654321	3.488489934854403E-12	P27476, P32527, P32905, P36049, Q06344, P57743, P38788, Q04660, P38333, P21304, P42945, P53905, P40007, Q12055, Q99207, Q12136, Q12019, P53276, Q12754, P47077, P53131, P53914, Q03264, Q01560, P33201, Q07623, Q02892, P32892, Q05022, P20448, P35194, P40991, P20447, P34241, Q03532, Q04225, Q08208, P40150, P53261, P24783, P22147	315	214	5677	3.4528556593977155	3.1431770519674274E-9	7.857823578259543E-10	7.665956631842551E-10
GOTERM_BP_DIRECT	GO:0002183~cytoplasmic translational initiation	9	2.7777777777777777	6.894115257183893E-10	P09032, P10081, Q04067, P32497, Q05775, P40217, P38249, P06103	315	9	5677	18.022222222222222	6.211595938721004E-7	1.2423195693445373E-7	1.2119854622129283E-7
GOTERM_BP_DIRECT	GO:0006412~translation	43	13.271604938271606	1.1655540126199096E-9	P06634, P32905, P39935, P12754, Q04067, Q05775, P36421, P34167, P39936, P36008, P38249, P32324, P16521, P20459, P38431, P12385, P09032, P10081, P32471, P40825, P05453, P06103, P29547, Q12532, P04801, P33309, P38912, P32497, P13188, P0CX33, P00958, P39730, P07260, P07284, P40150, P35691, P15180, P40217, P46655, P02992	315	278	5677	2.7876099120703435	1.050163591198583E-6	1.7502736089508974E-7	1.7075366284881676E-7
GOTERM_BP_DIRECT	GO:0001732~formation of cytoplasmic translation initiation complex	9	2.7777777777777777	3.2817448910834188E-9	P38431, P39730, Q04067, P38912, P32497, Q05775, P40217, P38249, P06103	315	10	5677	16.22	2.9568477665220527E-6	4.224074495523086E-7	4.1209339418033216E-7
GOTERM_BP_DIRECT	GO:0042273~ribosomal large subunit biogenesis	14	4.320987654320987	6.22736256683919E-6	P53131, P39935, P33201, P29295, P36049, Q02892, Q08962, Q04660, Q04373, Q08287, P40991, Q03532, P53261, P40007	315	55	5677	4.587474747474747	0.005595159604582456	7.013567090902638E-4	6.84231462031456E-4
GOTERM_BP_DIRECT	GO:1901195~positive regulation of formation of translation preinitiation complex	6	1.8518518518518516	9.611915376227271E-6	P06634, P07260, P10081, P39935, P39936	315	7	5677	15.44761904761905	0.008622984331091321	9.622595282200858E-4	9.387637350781969E-4
GOTERM_BP_DIRECT	GO:0000184~nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	9	2.7777777777777777	1.2955577897371233E-5	P07260, P53550, Q99383, Q12517, P24783, P30771, P32644, P22147, P32588	315	22	5677	7.372727272727273	0.01160518556134893	0.001167297568553148	0.0011387952971789314
GOTERM_BP_DIRECT	GO:0034063~stress granule assembly	7	2.1604938271604937	1.900531307818987E-5	P45978, P53550, P53297, P39935, P39517, P39936, P32588	315	12	5677	10.512962962962964	0.01697816828305465	0.0015567079166771884	0.0015186972905208086
GOTERM_BP_DIRECT	GO:0000290~deadenylation-dependent decapping of nuclear-transcribed mRNA	7	2.1604938271604937	5.6182062567403805E-5	P36041, Q12514, P53550, P39517, P47017, Q12517, P06102	315	14	5677	9.011111111111111	0.04936154326317432	0.004218336531102569	0.0041153360830623285
