string_id	string_id_alias	uniprot_alias
1	4932.Q0045	COX1	COX1
2	4932.Q0050	AI1	AI1M
3	4932.Q0055	AI2	AI2M
4	4932.Q0060	AI3	SCE3
5	4932.Q0065	AI4	SCE2
6	4932.Q0070	AI5_ALPHA	SCE4
7	4932.Q0080	AAP1	ATP8
8	4932.Q0085	PHO1	ATP6
9	4932.Q0105	CYB	CYB
10	4932.Q0110	BI2	MBI2
11	4932.Q0115	BI3	MBI3
12	4932.Q0120	BI4	MBI4
13	4932.Q0130	PHO2	PHO2
14	4932.Q0140	VAR1	RMAR
15	4932.Q0250	COX2	COX2
16	4932.Q0255	RF1	YMRF1
17	4932.YAL001C	TFC3	TFC3
18	4932.YAL002W	VPS8	VPS8
19	4932.YAL003W	EFB1	EF1B
20	4932.YAL004W	YAL004W	YAA4
21	4932.YAL005C	SSA1	SSA1
22	4932.YAL007C	ERP2	ERP2
23	4932.YAL008W	FUN14	FUN14
24	4932.YAL009W	SPO7	SPO7
25	4932.YAL010C	MDM10	MDM10
26	4932.YAL011W	SWC3	SWC3
27	4932.YAL012W	CYS3	CYS3
28	4932.YAL013W	DEP1	DEP1
29	4932.YAL014C	SYN8	STX8
30	4932.YAL015C	NTH1	NTH1
31	4932.YAL016W	TPD3	2AAA
32	4932.YAL017W	PSK1	PSK1
33	4932.YAL018C	LDS1	LDS1
34	4932.YAL019W	YAL019W	FUN30
35	4932.YAL019W-A	YAL019W-A	YA19A
36	4932.YAL020C	ATS1	ATS1
37	4932.YAL021C	CCR4	CCR4
38	4932.YAL022C	FUN26	FUN26
39	4932.YAL023C	PMT2	PMT2
40	4932.YAL024C	LTE1	LTE1
41	4932.YAL025C	MAK16	MAK16
42	4932.YAL026C	DRS2	ATC3
43	4932.YAL027W	SAW1	SAW1
44	4932.YAL028W	FRT2	HPH2
45	4932.YAL029C	SHE1	SHE1
46	4932.YAL030W	SNC1	SNC1
47	4932.YAL031C	GIP4	GIP4
48	4932.YAL032C	PRP45	PRP45
49	4932.YAL033W	POP5	POP5
50	4932.YAL034C	FUN19	FUN19
51	4932.YAL034W-A	MTW1	MTW1
52	4932.YAL035W	FUN12	IF2P
53	4932.YAL036C	RBG1	RBG1
54	4932.YAL037C-A	YAL037C-A	YA037
55	4932.YAL037W	YAL037W	YAD7
56	4932.YAL038W	CDC19	PYK1
57	4932.YAL039C	CYC3	CCHL
58	4932.YAL040C	CLN3	CG13
59	4932.YAL041W	CDC24	CDC24
60	4932.YAL042C-A	YAL042C-A	YA042
61	4932.YAL042W	ERV46	ERV46
62	4932.YAL043C	PTA1	PTA1
63	4932.YAL044C	GCV3	GCSH
64	4932.YAL044W-A	BOL1	BOL1
65	4932.YAL045C	YAL045C	YAE5
66	4932.YAL046C	BOL3	BOL3
67	4932.YAL047C	SPC72	SPC72
68	4932.YAL047W-A	YAL047W-A	YA047
69	4932.YAL048C	GEM1	GEM1
70	4932.YAL049C	AIM2	AIM2
71	4932.YAL051W	OAF1	OAF1
72	4932.YAL053W	FLC2	FLC2
73	4932.YAL054C	ACS1	ACS1
74	4932.YAL055W	PEX22	PEX22
75	4932.YAL056C-A	YAL056C-A	YA056
76	4932.YAL056W	GPB2	GPB2
77	4932.YAL058W	CNE1	CALX
78	4932.YAL059C-A	YAL059C-A	YA059
79	4932.YAL059W	SIM1	SIM1
80	4932.YAL060W	BDH1	BDH1
81	4932.YAL061W	BDH2	BDH2
82	4932.YAL062W	GDH3	DHE5
83	4932.YAL063C	YAL063C	FLO9
84	4932.YAL063C-A	YAL063C-A	YA063
85	4932.YAL064C-A	TDA8	TDA8
86	4932.YAL064W	YAL064W	YAG4
87	4932.YAL064W-B	YAL064W-B	YA64B
88	4932.YAL065C	YAL065C	YA065
