string_id	string_symbol	uniprot_symbol	uniprot_alias	string_id_alias
1	9606.ENSP00000000233	NA	NA	ARF5	ARF5
2	9606.ENSP00000000412	NA	NA	M6PR	MPRD
3	9606.ENSP00000001008	NA	NA	FKBP4	FKBP4
4	9606.ENSP00000001146	NA	NA	CYP26B1	9606.ENSP00000001146
5	9606.ENSP00000002125	NA	NA	NDUFAF7	9606.ENSP00000002125
6	9606.ENSP00000002165	NA	NA	FUCA2	9606.ENSP00000002165
7	9606.ENSP00000002596	NA	NA	HS3ST1	9606.ENSP00000002596
8	9606.ENSP00000002829	NA	NA	SEMA4	9606.ENSP00000002829
9	9606.ENSP00000003084	NA	NA	CFTR	MRP7
10	9606.ENSP00000003100	NA	NA	CP51	CYP51A1
11	9606.ENSP00000003302	NA	NA	USP28	9606.ENSP00000003302
12	9606.ENSP00000004531	NA	NA	SLC7A2	CAT2
13	9606.ENSP00000005178	NA	NA	PDK4	PDK4
14	9606.ENSP00000005226	NA	NA	USH1C	USH1C
15	9606.ENSP00000005257	NA	NA	RALA	RALA
16	9606.ENSP00000005260	NA	NA	BAIAP2L1	9606.ENSP00000005260
17	9606.ENSP00000005284	NA	NA	CACNG3	9606.ENSP00000005284
18	9606.ENSP00000005286	NA	NA	TMEM132A	GBP
19	9606.ENSP00000005340	NA	NA	DVL2	DVL2
20	9606.ENSP00000005386	NA	NA	RPAP3	RPAP3
21	9606.ENSP00000005587	NA	NA	SKAP2	SKAP2
22	9606.ENSP00000005995	NA	NA	PRSS21	ESP1
23	9606.ENSP00000006015	NA	NA	HOXA11	9606.ENSP00000006015
24	9606.ENSP00000006053	NA	NA	NTT	NTN
25	9606.ENSP00000006275	NA	NA	TRAPPC6A	9606.ENSP00000006275
26	9606.ENSP00000006526	NA	NA	WDR54	WDR54
27	9606.ENSP00000006658	NA	NA	SPATA20	9606.ENSP00000006658
28	9606.ENSP00000006724	NA	NA	CEACAM7	CEA
29	9606.ENSP00000006777	NA	NA	RHBDD2	9606.ENSP00000006777
30	9606.ENSP00000007390	NA	NA	TSR3	TSR3
31	9606.ENSP00000007414	NA	NA	OSBPL7	9606.ENSP00000007414
32	9606.ENSP00000007699	NA	NA	YBX2	9606.ENSP00000007699
33	9606.ENSP00000007722	NA	NA	ITGA3	9606.ENSP00000007722
34	9606.ENSP00000007735	NA	NA	KRT33A	9606.ENSP00000007735
35	9606.ENSP00000008391	NA	NA	TFAP2D	9606.ENSP00000008391
36	9606.ENSP00000008527	NA	NA	CRY1	CRY1
37	9606.ENSP00000008938	NA	NA	PGLYRP1	PGRP
38	9606.ENSP00000009041	NA	NA	STARD3NL	9606.ENSP00000009041
39	9606.ENSP00000009105	NA	NA	CAMK1G	9606.ENSP00000009105
40	9606.ENSP00000009530	NA	NA	P33	P33
41	9606.ENSP00000010299	NA	NA	FAM76A	ETFA
42	9606.ENSP00000011292	NA	NA	CPA1	CPA
43	9606.ENSP00000011473	NA	NA	SYPL1	SYPL1
44	9606.ENSP00000011619	NA	NA	RANBP9	9606.ENSP00000011619
45	9606.ENSP00000011653	NA	NA	CD4	CD4
46	9606.ENSP00000011898	NA	NA	NET5	TSPAN9
47	9606.ENSP00000012049	NA	NA	QPCTL	QPCTL
48	9606.ENSP00000012443	NA	NA	PPT	PPT
49	9606.ENSP00000013070	NA	NA	UBR7	UBR7
50	9606.ENSP00000013125	NA	NA	MAP4K5	KHS1
51	9606.ENSP00000013222	NA	NA	INMT	INMT
52	9606.ENSP00000013807	NA	NA	ERCC1	ERCC1
53	9606.ENSP00000014914	NA	NA	RAI3	TIG1
54	9606.ENSP00000014930	NA	NA	HEBP1	HEBP1
55	9606.ENSP00000016171	NA	NA	COX15	COX15
56	9606.ENSP00000016913	NA	NA	MS4A12	9606.ENSP00000016913
