symbol	HI_score
A4GALT	30
AAGAB	3
AARS2	30
AASS	30
ABAT	30
ABCB11	30
ABCC8	30
ABCD1	3
ABCG5	30
ABCG8	30
ABHD12	30
ACAD8	30
ACADM	30
ACADSB	30
ACADVL	30
ACD	1
ACOX1	30
ACP5	30
ACSF3	30
ACSL4	1
ACTC1	1
ACVRL1	3
ADA2	30
ADAM9	30
ADAMTS13	30
ADAMTS17	30
ADAMTS18	30
ADAMTS2	30
ADAMTSL2	30
ADGRG1	30
ADGRV1	30
ADNP	3
ADSL	30
AFF2	3
AGA	30
AGK	30
AGPAT2	30
AGRN	30
AGT	30
AGXT	30
AHCY	30
AHDC1	3
AHI1	30
AICDA	30
AIMP1	30
AKT3	1
ALAD	30
ALDH1A3	30
ALDH3A2	30
ALDH4A1	30
ALDH5A1	30
ALDOA	30
ALG1	30
ALG12	30
ALG2	30
ALG6	30
ALMS1	30
ALS2	30
ALX4	3
AMH	30
AMN	30
ANGPTL3	30
ANK2	3
ANKRD11	3
ANKS6	30
ANOS1	3
ANTXR2	30
AP1S2	3
AP4B1	30
AP4S1	30
APC	3
APOB	3
APOC2	30
AR	3
ARCN1	2
ARFGEF2	30
ARG1	30
ARID1A	3
ARID1B	3
ARID2	3
ARL6	30
ARL6IP1	30
ARSA	30
ARSL	3
ARX	3
ASAH1	30
ASH1L	3
ASL	30
ASPA	30
ASPH	30
ASPM	30
ASTN2	1
ASXL1	3
ASXL3	3
ATCAY	30
ATF6	30
ATM	3
ATP13A2	30
ATP2A1	30
ATP6V0A2	30
ATP6V0A4	30
ATP7A	3
ATP7B	30
ATP8A2	1
ATPAF2	30
ATR	1
ATRX	3
AUTS2	3
AVPR2	3
AXIN2	3
B3GALNT2	30
B3GALT6	30
B4GALT1	30
B4GALT7	30
B9D1	30
BAG3	3
BAP1	3
BARD1	3
BBS12	30
BBS5	30
BBS7	30
BCHE	30
BCKDHB	30
BCKDK	30
BCL11A	3
BCLAF1	1
BCOR	3
BCS1L	30
BIN1	30
BLM	30
BLNK	30
BMPER	30
BMPR1A	3
BMPR2	3
BPHL	40
BPNT2	30
BRAF	1
BRAT1	30
BRCA2	3
BRIP1	3
BRWD3	2
BSND	30
BTD	30
BTK	3
C19orf12	30
C1QB	30
C8orf37	30
CA12	30
CA5A	30
CA8	30
CABP2	30
CABP4	30
CACNA1A	3
CACNA1C	1
CAMK2A	1
CAMK2B	2
CAMTA1	3
CANT1	30
CAPN3	30
CASP10	1
CASQ2	30
CASZ1	1
CATSPER2	30
CBS	30
CBY2	40
CC2D2A	30
CCBE1	30
CCDC103	30
CCDC39	30
CCDC40	30
CCDC8	30
CCN6	30
CCT5	30
CD19	30
CD27	30
CD36	30
CD3D	30
CD3E	30
CD3G	30
CD40LG	3
CD59	30
CD8A	30
CDAN1	30
CDC42BPB	1
CDH1	3
CDH23	30
CDHR1	30
CDIN1	30
CDK5RAP2	30
CDK6	30
CDKL5	3
CDKN1B	3
CDKN1C	3
CDT1	30
CEBPE	30
CENPJ	30
CEP164	30
CEP290	30
CEP78	30
CERS3	30
CFAP53	30
CFD	30
CFL2	30
CFTR	30
CHAMP1	2
CHAT	30
CHD2	3
CHD7	3
CHD8	3
CHEK2	3
CHKB	30
CHM	3
CHMP1A	30
CHRDL1	3
CHRM3	1
CHST6	30
CHSY1	30
CIC	2
CIDEC	30
CLCF1	30
CLCN4	2
CLCN5	3
CLCNKA	30
CLCNKB	30
CLDN14	30
CLMP	30
CLN3	30
CLN8	30
CLPP	30
CLRN1	30
CNGB1	30
CNKSR2	3
CNNM4	30
CNTN1	30
CNTN2	30
CNTN4	1
CNTN6	1
CNTNAP2	1
COG1	30
COG4	30
COG7	30
COG8	30
COL11A1	1
COL16A1	40
COL1A1	3
COL2A1	3
COL3A1	3
COL4A3	30
COL4A5	3
COL5A1	3
COL6A5	40
COLEC11	30
COLQ	30
COQ2	30
CORO1A	30
COX10	30
COX14	30
COX15	30
COX20	30
COX6B1	30
CP	30
CPLANE1	30
CPN1	30
CPS1	30
CPT1A	30
CRADD	30
CREBBP	3
CRIPT	30
CRKL	1
CRPPA	30
CRTAP	30
CRYBB2	1
CSF2RA	30
CSF2RB	30
CSMD1	1
CSPP1	30
CSTB	30
CTC1	30
CTDP1	30
CTH	30
CTNNB1	3
CTNS	30
CUBN	30
CUL4B	3
CYB5A	30
CYBB	3
CYLD	3
CYP21A2	30
CYP24A1	30
CYP27A1	30
CYP3A43	40
CYP4F22	30
CYP4V2	30
D2HGDH	30
DARS2	30
DBH	30
DBT	30
DCHS1	1
DCLRE1C	30
DCX	3
DCXR	30
DDB2	30
DDHD1	30
DDOST	30
DDX3X	3
DGKE	30
DGUOK	30
DHCR7	30
DHODH	30
DICER1	3
DIP2A	1
DIS3L2	1
DKC1	1
DLG2	1
DLG3	2
DLL1	3
DMD	3
DMP1	30
DNAAF1	30
DNAH11	30
DNAH5	30
DNAI1	30
DNAI2	30
DNAJC21	1
DNAJC28	40
DNAJC6	30
DNMT3A	1
DOCK7	30
DOCK8	30
DOK7	30
DPAGT1	30
DPM1	30
DPM3	30
DPP6	1
DPYD	30
DPYS	30
DSC2	2
DSC3	30
DSCAM	3
DSE	30
DSG2	1
DSG4	30
DYM	30
DYNC2H1	30
DYNC2I1	30
DYRK1A	3
EARS2	30
EBP	3
EDA	3
EDNRB	3
EFCAB13	40
EFNB1	3
EFTUD2	3
EHMT1	3
EIF2AK3	30
EIF2B1	30
EIF2B3	30
EIF4A3	30
ELAVL2	1
ELN	3
ENG	3
ENO3	30
ENPP1	30
EP300	3
EPB42	30
EPCAM	30
EPM2A	30
EPS8	30
ERCC1	30
ERCC2	30
ERCC3	30
ERCC5	30
ERCC6L2	30
ERCC8	30
ERF	3
ERMARD	1
ESCO2	30
ESPN	30
ETFB	30
ETFDH	30
EVC2	30
EXO5	40
EXOSC3	30
EXPH5	30
EXT1	3
EXT2	3
EYA1	3
EYA4	3
EYS	30
F10	30
F13A1	30
F13B	30
F5	30
F7	30
F8	3
F9	3
FA2H	30
FADD	30
FAH	30
FAM161A	30
FAM20C	30
FAN1	30
FANCA	30
FANCB	3
FANCC	30
FANCD2	30
FANCE	30
FANCF	30
FANCG	30
FANCI	30
FARS2	30
FBN1	3
FBP1	30
FBXO7	30
FGD1	3
FGD4	30
FGF10	3
FGF3	30
FGFR1	3
FH	3
FKBP14	30
FLCN	3
FLG	3
FLNA	3
FLNC	3
FLVCR2	30
FMO2	40
FMR1	3
FOLR1	30
FOXC1	3
FOXC2	3
FOXE1	30
FOXF1	3
FOXG1	3
FOXL2	3
FOXP1	3
FOXP2	1
FOXRED1	30
FRMD7	3
FSHB	30
FTCD	30
FTSJ1	3
FXN	30
FYCO1	30
FZD4	3
G6PC3	30
GAA	30
GAB4	40
GABRA1	2
GABRG2	1
GALC	30
GALK1	30
GALNS	30
GALNT12	1
GALNT3	30
GALT	30
GAMT	30
GAN	30
GATA2	3
GATA3	3
GATA4	3
GATA6	3
GATAD1	30
GATAD2B	3
GBA	30
GBA2	30
GBE1	30
GCDH	30
GCH1	3
GCSH	30
GDF5	3
GDI1	2
GEN1	40
GFER	30
GFM1	30
GIGYF2	2
GIPC3	30
GJA5	1
GJA8	1
GJB2	40
GK	3
GLA	3
GLB1	30
GLDC	30
GLI2	3
GLI3	3
GLIS3	30
GLMN	3
GLRB	30
GLUL	30
GMPPA	30
GNAS	3
GNB1	1
GNPAT	30
GNRH1	30
GNS	30
GORAB	30
GP1BB	30
GP6	30
GPC3	3
GPC6	30
GPD1	30
GPHN	2
GPIHBP1	30
GPR179	30
GPSM2	30
GPX4	30
GRHPR	30
GRIA3	2
GRIK2	30
GRIN2A	1
GRIN2B	3
GRIN3B	40
GRIP1	30
GRM1	30
GRM6	30
GRXCR1	30
GTF2H5	30
GUCA1C	40
GUSB	30
GYS2	30
H1-4	3
H6PD	30
HBA1	30
HBA2	30
HDAC4	1
HDAC8	3
HEXB	30
HFE	30
HFM1	30
HGF	30
HGSNAT	30
HIVEP2	3
HIVEP3	1
HJV	30
HLCS	30
HMBS	3
HNF1B	3
HNRNPK	3
HOXD13	3
HPGD	30
HPRT1	3
