"uniprot_id"	"HI_bin"
"35"	"P12272"	"HI"
"44"	"O43502"	"HI"
"64"	"P35498"	"HI"
"158"	"Q9NRF2"	"HI"
"186"	"P57082"	"HI"
"373"	"P48029"	"HI"
"393"	"Q15465"	"HI"
"444"	"Q9UBP0"	"HI"
"528"	"P35716"	"HI"
"577"	"P0DI81"	"HI"
"603"	"Q96JQ0"	"HI"
"644"	"Q9UJQ4"	"HI"
"649"	"Q9C0A6"	"HI"
"659"	"Q12824"	"HI"
"689"	"O14746"	"HI"
"764"	"P08397"	"HI"
"804"	"Q01453"	"HI"
"855"	"Q9Y6X0"	"HI"
"858"	"Q14524"	"HI"
"940"	"Q9NX18"	"HI"
"954"	"P48431"	"HI"
"965"	"Q96ST3"	"HI"
"1046"	"O15119"	"HI"
"1048"	"P13385"	"HI"
"1191"	"P51532"	"HI"
"1288"	"Q14683"	"HI"
"1367"	"P61278"	"HI"
"1373"	"O95343"	"HI"
"1382"	"Q15831"	"HI"
"1388"	"P52788"	"HI"
"1418"	"Q93008"	"HI"
"1481"	"Q13485"	"HI"
"1502"	"Q86UR5"	"HI"
"1521"	"P62847"	"HI"
"1596"	"Q9BYW2"	"HI"
"1681"	"P37173"	"HI"
"1703"	"Q01196"	"HI"
"1805"	"Q02962"	"HI"
"1922"	"P84022"	"HI"
"1979"	"Q96NR3"	"HI"
"2048"	"Q92574"	"HI"
"2071"	"Q13224"	"HI"
"2090"	"P56693"	"HI"
"2103"	"P61764"	"HI"
"2140"	"Q9NQB0"	"HI"
"2156"	"Q9Y4A5"	"HI"
"2263"	"Q06124"	"HI"
"2291"	"P41732"	"HI"
"2307"	"P98170"	"HI"
"2339"	"Q9UPX8"	"HI"
"2377"	"O15344"	"HI"
"2439"	"O60828"	"HI"
"2489"	"Q9Y566"	"HI"
"2532"	"Q86X10"	"HI"
"2549"	"O60880"	"HI"
"2561"	"P30518"	"HI"
"2664"	"Q9NSC2"	"HI"
"2736"	"O15047"	"HI"
"2764"	"P21359"	"HI"
"2765"	"Q6KC79"	"HI"
"2890"	"O75151"	"HI"
"2927"	"P21912"	"HI"
"2999"	"Q99250"	"HI"
"3003"	"Q14563"	"HI"
"3009"	"P00558"	"HI"
"3051"	"P39019"	"HI"
"3076"	"P32243"	"HI"
"3089"	"Q13635"	"HI"
"3101"	"P24386"	"HI"
"3138"	"P30531"	"HI"
"3152"	"P60484"	"HI"
"3218"	"O75771"	"HI"
"3229"	"P08708"	"HI"
"3243"	"P62854"	"HI"
"3281"	"P55771"	"HI"
"3382"	"Q7Z3K3"	"HI"
"3427"	"P36507"	"HI"
"3522"	"Q92794"	"HI"
"3535"	"Q15738"	"HI"
"3578"	"Q99697"	"HI"
"3591"	"P78562"	"HI"
"3670"	"P40424"	"HI"
"3689"	"Q9UMN6"	"HI"
"3729"	"P08559"	"HI"
"3832"	"P42263"	"HI"
"3995"	"P51608"	"HI"
"4018"	"Q15746"	"HI"
"4080"	"Q9UJ55"	"HI"
"4111"	"P52701"	"HI"
"4150"	"Q13126"	"HI"
"4289"	"Q9H237"	"HI"
"4296"	"P98161"	"HI"
"4322"	"P20936"	"HI"
"4533"	"Q6T4R5"	"HI"
"4541"	"Q96L73"	"HI"
"4558"	"Q7Z5J4"	"HI"
"4732"	"P49815"	"HI"
"4737"	"P49459"	"HI"
"4754"	"Q13285"	"HI"
"4973"	"O43435"	"HI"
"5083"	"Q8NDX2"	"HI"
"5108"	"Q15326"	"HI"
"5143"	"Q15029"	"HI"
"5157"	"P36897"	"HI"
"5196"	"Q12857"	"HI"
"5218"	"Q9UGU0"	"HI"
"5220"	"Q99593"	"HI"
"5247"	"O15537"	"HI"
"5334"	"Q5T1R4"	"HI"
"5349"	"Q9BTA9"	"HI"
"5426"	"P51814"	"HI"
"5428"	"Q99592"	"HI"
"5448"	"Q96JM2"	"HI"
"5546"	"Q8WWQ0"	"HI"
"5571"	"P07949"	"HI"
"5587"	"Q969G2"	"HI"
"5616"	"Q96S42"	"HI"
"5820"	"Q12879"	"HI"
"5885"	"Q8IWS0"	"HI"
"5888"	"P52952"	"HI"
"5906"	"O60890"	"HI"
"5982"	"P06400"	"HI"
"6058"	"O43526"	"HI"
"6176"	"P81133"	"HI"
"6246"	"Q8TAB3"	"HI"
"6330"	"Q96MU7"	"HI"
"6413"	"Q01968"	"HI"
"6445"	"P04637"	"HI"
"6459"	"Q96DA2"	"HI"
"6475"	"P17600"	"HI"
"6568"	"Q9BZK7"	"HI"
"6570"	"O60220"	"HI"
"6588"	"Q9UPQ9"	"HI"
"6602"	"Q15672"	"HI"
"6657"	"Q14669"	"HI"
"6679"	"Q9UHF7"	"HI"
"6714"	"P31629"	"HI"
"6762"	"Q05086"	"HI"
"6778"	"Q9NQZ6"	"HI"
"6810"	"P23760"	"HI"
"6813"	"Q96BD5"	"HI"
"6849"	"Q9Y675"	"HI"
"7007"	"P08842"	"HI"
"7041"	"Q9Y2J0"	"HI"
"7069"	"Q92581"	"HI"
"7177"	"Q8TDY2"	"HI"
"7201"	"Q9UPW6"	"HI"
"7361"	"Q05066"	"HI"
"7423"	"P35711"	"HI"
"7475"	"P78381"	"HI"
"7523"	"Q6ZRS2"	"HI"
"7530"	"Q7Z699"	"HI"
"7546"	"Q00577"	"HI"
"7609"	"P18583"	"HI"
