uniprot_id	disopred3perc	iupredperc	abundance	uniprot_symbols	entrez_id	is_HI	oncogene	ps_high_conf	drlps_drivers	dr_all_phase_sep	drpls_clients
A0A075B6H9	0	13.44	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6I0	0.81	5.73	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6I1	0.83	1.66	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6I4	3.41	29.91	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6I9	1.7	2.56	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6J1	1.62	16.26	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6J6	3.47	23.47	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6J9	1.69	27.11	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6K0	2.6	1.73	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6K2	3.47	19.13	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6K4	3.47	13.04	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6K5	3.47	6.95	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6K6	4.09	18.03	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6P5	0.83	1.66	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6Q5	4.23	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6R2	6.83	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6S2	0.83	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6S4	2.56	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6S5	0.85	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6S6	0.83	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6T6	14.15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6T7	4.54	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6T8	11.6	4.46	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6U4	9.82	2.67	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6V5	13.27	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6W5	14.87	6.61	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B6X5	12.61	7.2	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A075B759	0.6	0.6	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A087WSX0	1.62	9.75	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A087WSY4	8.47	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A087WSY6	0.86	1.73	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A087WSZ0	2.56	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A087WSZ9	8.03	1.78	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A087WT01	11	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A087WT02	11.6	0.89	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A087WT03	13.76	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A087WTH1	15.74	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A087WTH5	20.45	15.15	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A087WUL8	98.2	39.08	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A087WVF3	34.97	37.15	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A087WW87	0.82	9.09	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A087WX78	57.88	79.58	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A087WXM9	52.81	42.62	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A087WXS9	35.15	37.88	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A087X179	35.88	37.52	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A087X1C5	4.85	3.88	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A087X1G2	36.06	35.51	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A096LNP1	20	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A096LP01	12.63	10.52	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A096LP49	95.86	75.54	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A096LP55	27.47	43.95	NA	NA	NA	NA	NA	NA	NA	1	NA
A0A096LPI5	3.7	12.03	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0A0MRZ7	0.83	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0A0MRZ8	0.86	0.86	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0A0MRZ9	2.41	6.45	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0A0MS14	0.85	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0A0MS15	3.36	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0A0MT36	0.87	0.87	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0A0MT76	0	7.14	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0A0MT89	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0A6YYC5	12.06	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0A6YYJ7	14.15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0A6YYK1	15.04	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0A6YYK6	13.76	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0A6YYK7	13.79	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0A6YYL3	40.07	37.68	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J1U3	1.7	3.41	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J1U7	10.74	0.82	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J1V0	1.68	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J1V1	4.27	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J1V2	10.08	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J1V6	3.36	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J1X5	3.41	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J1X8	3.38	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J1Y8	1.62	5.69	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J1Y9	3.36	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J1Z2	4.27	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J234	8.03	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J235	12.38	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J237	14.15	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J238	5.66	3.77	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J240	15.78	0.87	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J241	7.14	1.78	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J244	9.64	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J245	14.28	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J248	13.88	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J249	15.92	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J262	13.27	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J263	10	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J264	12.06	0.86	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J265	14.67	16.51	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J266	14.28	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J268	0.91	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J271	11.4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J272	9.64	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J273	17.85	6.25	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J274	8.92	3.57	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J275	8.92	12.5	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J276	10.09	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J277	8.18	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J279	15.17	2.67	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J280	6.66	2.85	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J2A2	0.6	0.6	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J2D9	2.56	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J2F0	16.66	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B4J2H0	0.85	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0C4DH24	0.87	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0C4DH25	6.89	0.86	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0C4DH29	0.85	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0C4DH31	0.85	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0C4DH32	3.41	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0C4DH33	0.85	4.27	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0C4DH34	8.54	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0C4DH38	2.56	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0C4DH39	0.85	1.7	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0C4DH41	8.47	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0C4DH42	3.44	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0C4DH43	9.24	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0C4DH55	10.08	1.68	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0C4DH59	1.75	1.75	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0C4DH62	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0C4DH67	0.86	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0C4DH68	0.83	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0C4DH69	2.56	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0C4DH72	2.56	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0C4DH73	1.7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0C5B5G6	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0G2JMD5	0.84	0.42	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0G2JMI3	0.85	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0G2JS06	1.62	6.5	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0J9YVY3	0.85	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0J9YWL9	81.26	79.15	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0J9YX35	2.56	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0J9YX94	45.5	50.51	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0J9YXQ4	51.15	53.63	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0J9YXX1	2.56	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0U1RR37	54.3	76.88	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0U1RRE5	38.23	100	NA	NA	NA	NA	NA	NA	NA	1	1
A0A183	33.75	48.75	0.009	LCE6A C1orf44	NA	NA	NA	NA	NA	NA	NA
A0A1B0GTC6	17.77	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GTD5	6.1	22.9	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GTH6	77.65	25.47	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GTI8	13.22	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GTK4	6.07	4.41	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GTK5	1.26	29.11	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GTL2	33.33	29.1	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GTQ4	20.23	19.04	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GTR0	11.18	3.1	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GTR4	55.55	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GTS1	55.85	54.95	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GTU2	18.64	3.38	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GTY4	22.59	5.64	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GTZ2	11.78	46.46	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GU29	14.47	32.23	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GU33	2.85	38.57	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GUA5	25.24	0.97	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GUA6	44.77	67.66	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GUA7	5.42	2.4	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GUC4	12.96	73.14	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GUJ8	36.76	37.74	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GUQ0	1.26	27.84	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GUS0	18.01	51.8	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GUS4	3.24	8.44	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GUT2	45.37	62.03	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GUU1	5.18	6.07	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GUV7	18.33	45.83	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GUW6	88.62	70.06	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GUW7	7.27	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GUY1	54.73	90.17	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GV03	70.41	86.01	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GV22	1.26	27.84	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GV85	34.98	49.23	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GV90	20	3.63	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GVG4	29.91	74.78	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GVG6	63.7	93.54	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GVH4	7.72	5.45	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GVH6	21.84	27.38	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GVH7	10.57	12.77	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GVK7	15.58	19.48	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GVM6	37.3	38.09	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GVN3	16.22	5.66	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GVQ0	6.66	3.33	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GVS7	49.2	16.4	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GVT2	21.5	2.15	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GVV1	4.7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GVY4	30.98	47.88	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GVZ2	15.38	19.23	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GVZ6	24.01	68.13	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GVZ9	26.53	0.4	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GW35	1.16	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GW64	22.72	50	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GWB2	71.1	46.76	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GWG4	6.66	5.55	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1B0GWH4	55.25	54.65	NA	NA	NA	NA	NA	NA	NA	NA	NA
