yourlist:M202111026320BA52A5CE8FCD097CB85A53697A35277F3CK	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
YAL022C	P31381	FUN26_YEAST	reviewed	Nucleoside transporter FUN26	FUN26 YAL022C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	517
YAL029C	P32492	MYO4_YEAST	reviewed	Myosin-4 (SWI5-dependent HO expression protein 1)	MYO4 SHE1 YAL029C FUN22	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1471
YAL030W	P31109	SNC1_YEAST	reviewed	Synaptobrevin homolog 1	SNC1 YAL030W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	117
YAL031C	P39732	GIP4_YEAST	reviewed	GLC7-interacting protein 4	GIP4 FUN21 YAL031C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	760
YAL032C	P28004	PRP45_YEAST	reviewed	Pre-mRNA-processing protein 45	PRP45 FUN20 YAL032C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	379
YAL033W	P28005	POP5_YEAST	reviewed	Ribonuclease P/MRP protein subunit POP5 (EC 3.1.26.5) (RNA-processing protein POP5) (RNase P/MRP 19.6 kDa subunit)	POP5 YAL033W FUN53	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	173
YAL034C	P28003	FUN19_YEAST	reviewed	SWIRM domain-containing protein FUN19	FUN19 YAL034C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	413
YAL053W	P39719	FLC2_YEAST	reviewed	Flavin carrier protein 2 (FAD transporter 2) (TRP-like ion channel FLC2)	FLC2 YAL053W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	783
YAR002W	P39705	NUP60_YEAST	reviewed	Nucleoporin NUP60 (Nuclear pore protein NUP60)	NUP60 FUN17 YAR002W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	539
YAR014C	P27637	BUD14_YEAST	reviewed	Bud site selection protein 14	BUD14 YAR014C FUN2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	709
YAR018C	P22209	KIN3_YEAST	reviewed	Serine/threonine-protein kinase KIN3 (EC 2.7.11.1)	KIN3 NPK1 YAR018C FUN52	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	435
YBL003C	P04912	H2A2_YEAST	reviewed	Histone H2A.2	HTA2 H2A2 YBL003C YBL0103	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	132
YBL009W	P32789	ALK2_YEAST	reviewed	Serine/threonine-protein kinase Haspin homolog ALK2 (EC 2.7.11.1)	ALK2 YBL009W YBL0317	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	676
YBL014C	P32786	RRN6_YEAST	reviewed	RNA polymerase I-specific transcription initiation factor RRN6	RRN6 YBL014C YBL0311 YBL0312	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	894
YBL022C	P36775	LONM_YEAST	reviewed	Lon protease homolog, mitochondrial (EC 3.4.21.53)	PIM1 LON YBL022C YBL0440	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1133
