"uniprot_id"	"disopred_percent_bin"	"iupred_percent_bin"
"1"	"Q00266"	"low"	"low"
"2"	"Q8NB16"	"mid"	"mid"
"3"	"O94851"	"high"	"high"
"4"	"Q8TDZ2"	"high"	"mid"
"5"	"Q9NPJ6"	"high"	"high"
"6"	"Q8N635"	"low"	"low"
"7"	"O15553"	"high"	"high"
"8"	"Q8NCK7"	"mid"	"mid"
"9"	"Q9HD23"	"high"	"low"
"10"	"Q9NYP9"	"high"	"low"
"11"	"Q96H12"	"high"	"high"
"12"	"Q86VF5"	"low"	"low"
"13"	"Q13724"	"low"	"mid"
"14"	"P45452"	"mid"	"mid"
"15"	"Q9BXB5"	"high"	"high"
"16"	"A0A024RBG1"	NA	NA
"17"	"Q8NH64"	"low"	"low"
"18"	"Q96DL1"	"low"	"low"
"19"	"Q9ULW8"	"low"	"low"
"20"	"P18669"	"low"	"mid"
"21"	"Q9NUG6"	"low"	"mid"
"22"	"Q86VZ1"	"mid"	"low"
"23"	"O60437"	"high"	"high"
"24"	"Q9NY27"	"high"	"high"
"25"	"Q8NDH3"	"low"	"low"
"26"	"Q5H9R7"	"high"	"high"
"27"	"Q5JTB6"	"mid"	"mid"
"28"	"Q8NE79"	"mid"	"mid"
"29"	"Q6DJT9"	"mid"	"mid"
"30"	"Q8WVI7"	"high"	"high"
"31"	"D3DTV9"	"mid"	"high"
"32"	"Q8WUA2"	"high"	"high"
"33"	"Q8NCQ7"	"high"	"high"
"34"	"O15067"	"low"	"mid"
"35"	"P12272"	"high"	"high"
"36"	"O43242"	"mid"	"mid"
"37"	"Q16557"	"low"	"low"
"38"	"Q9BTD8"	"high"	"high"
"39"	"P20340"	"mid"	"mid"
"40"	"Q6VN20"	"high"	"high"
"41"	"Q9NP90"	"low"	"low"
"42"	"Q14964"	"low"	"low"
"43"	"Q9H2M9"	"mid"	"mid"
"44"	"O43502"	"low"	"low"
"45"	"O95716"	"mid"	"mid"
"46"	"P04049"	"high"	"mid"
"47"	"Q92928"	"mid"	"mid"
"48"	"Q9ULI2"	"mid"	"mid"
"49"	"Q9Y6G3"	"mid"	"high"
"50"	"P62277"	"low"	"mid"
"51"	"Q8IZC4"	"high"	"mid"
"52"	"P19793"	"high"	"high"
"53"	"P21453"	"mid"	"mid"
"54"	"O95977"	"mid"	"low"
"55"	"Q14D33"	"high"	"mid"
"56"	"Q92503"	"mid"	"mid"
"57"	"Q9NV23"	"low"	"mid"
"58"	"P18405"	"low"	"low"
"59"	"Q9Y6R1"	"mid"	"mid"
"60"	"Q96FV2"	"low"	"mid"
"61"	"A0A286YF77"	NA	NA
"62"	"P02743"	"low"	"low"
"63"	"Q1RMZ1"	"mid"	"mid"
"64"	"P35498"	"high"	"mid"
"65"	"Q9Y6X1"	"low"	"high"
"66"	"A3KN83"	"mid"	"high"
"67"	"O15041"	"mid"	"mid"
"68"	"Q15428"	"high"	"high"
"69"	"Q92599"	"mid"	"mid"
"70"	"Q8IYM1"	"mid"	"mid"
"71"	"Q9NPE6"	"high"	"high"
"72"	"Q9Y6H5"	"high"	"high"
"73"	"Q9H3E2"	"mid"	"mid"
"74"	"Q5SQN1"	"mid"	"mid"
"75"	"Q9Y5X3"	"mid"	"mid"
"76"	"Q16533"	"high"	"high"
"77"	"G3V0H7"	"mid"	"low"
"78"	"O15524"	"mid"	"high"
"79"	"Q4ZJI4"	"mid"	"mid"
"80"	"Q9UNP4"	"mid"	"low"
"81"	"Q9BUA3"	"high"	"high"
"82"	"P28370"	"mid"	"mid"
"83"	"O00141"	"mid"	"mid"
"84"	"O95475"	"mid"	"high"
"85"	"Q6S5L8"	"high"	"high"
"86"	"Q9Y6E7"	"low"	"low"
"87"	"P0DMR2"	"mid"	"low"
"88"	"Q9UPU9"	"high"	"high"
"89"	"Q96IW2"	"high"	"high"
"90"	"B4DS77"	"high"	"high"
"91"	"P30872"	"mid"	"mid"
"92"	"P32745"	"high"	"mid"
"93"	"Q9C0K7"	"mid"	"mid"
"94"	"Q15562"	"mid"	"high"
"95"	"P05543"	"low"	"low"
"96"	"Q9BXT4"	"high"	"mid"
"97"	"Q5T9Z0"	"mid"	"low"
"98"	"Q8IY51"	"mid"	"mid"
"99"	"Q9UQP3"	"low"	"high"
"100"	"Q86W33"	"mid"	"low"
"101"	"O95259"	"high"	"mid"
"102"	"A0A075B6H7"	NA	NA
"103"	"O43300"	"mid"	"low"
"104"	"Q9UI95"	"low"	"low"
"105"	"Q9UPY8"	"high"	"high"
"106"	"Q7Z6M3"	"high"	"mid"
"107"	"O14880"	"low"	"low"
"108"	"Q9BQP7"	"mid"	"mid"
"109"	"Q8NHS3"	"mid"	"low"
"110"	"Q9UH92"	"high"	"high"
"111"	"Q8NCR3"	"mid"	"mid"
"112"	"Q8NGF4"	"low"	"low"
"113"	"Q8NGZ9"	"low"	"low"
"114"	"O75147"	"low"	"mid"
"115"	"Q86WC4"	"mid"	"low"
"116"	"Q96RD7"	"mid"	"mid"
"117"	"Q9UN66"	"low"	"low"
"118"	"Q9Y5E7"	"low"	"low"
"119"	"A0A0B4J2A2"	"low"	"low"
"120"	"Q9Y5E5"	"low"	"mid"
"121"	"Q15072"	"low"	"mid"
"122"	"O15460"	"low"	"low"
"123"	"O15018"	"high"	"high"
"124"	"O15547"	"mid"	"mid"
"125"	"O43692"	"mid"	"low"
"126"	"Q8NBT0"	"low"	"mid"
"127"	"O00444"	"high"	"high"
"128"	"Q7RTY7"	"mid"	"low"
"129"	"Q8TC44"	"mid"	"mid"
"130"	"O00329"	"low"	"low"
"131"	"Q8TEQ8"	"low"	"mid"
"132"	"Q9NZF1"	"mid"	"low"
"133"	"Q99575"	"high"	"high"
"134"	"Q6UQ28"	"mid"	"low"
"135"	"Q14765"	"mid"	"mid"
"136"	"Q15527"	"high"	"high"
"137"	"P62753"	"low"	"high"
"138"	"Q5VU36"	"high"	"high"
"139"	"A6ZKI3"	"mid"	"low"
"140"	"P55809"	"low"	"low"
"141"	"Q8IWL1"	"high"	"high"
"142"	"A8K8P3"	"mid"	"mid"
"143"	"Q15459"	"high"	"high"
"144"	"A0A1B0GUW6"	"high"	"high"
"145"	"O94991"	"mid"	"high"
"146"	"Q0P670"	"high"	"high"
"147"	"Q8N9S9"	"mid"	"low"
"148"	"O94993"	"high"	"high"
"149"	"Q9P0Z9"	"low"	"low"
"150"	"Q6IQ16"	"low"	"low"
"151"	"P55000"	"mid"	"low"
"152"	"O15370"	"high"	"high"
"153"	"Q9BWM7"	"low"	"low"
"154"	"Q9BQB4"	"high"	"high"
"155"	"Q13296"	"mid"	"low"
"156"	"Q15797"	"mid"	"high"
"157"	"Q6PI26"	"high"	"mid"
"158"	"Q9NRF2"	"high"	"high"
"159"	"Q9H4F8"	"mid"	"high"
"160"	"Q13309"	"mid"	"mid"
"161"	"B8ZZ34"	"high"	"high"
"162"	"P12755"	"high"	"high"
"163"	"Q8N7X2"	"mid"	"high"
"164"	"Q8TDW4"	"mid"	"mid"
"165"	"P63272"	"low"	"low"
"166"	"P61011"	"mid"	"mid"
"167"	"Q8WVM7"	"high"	"mid"
"168"	"Q9NRC1"	"low"	"low"
"169"	"Q96JX3"	"low"	"low"
"170"	"Q5VSL9"	"mid"	"mid"
"171"	"P23327"	"high"	"high"
"172"	"Q8TE77"	"high"	"high"
"173"	"Q9UHV2"	"high"	"high"
"174"	"P49588"	"low"	"low"
"175"	"Q2MJR0"	"high"	"high"
"176"	"Q9HCS7"	"mid"	"mid"
"177"	"P21980"	"low"	"mid"
"178"	"Q86YL5"	"high"	"high"
"179"	"Q01664"	"high"	"high"
"180"	"Q6IPX3"	"high"	"high"
"181"	"Q9GZM7"	"low"	"mid"
"182"	"P23193"	"mid"	"high"
"183"	"Q96A09"	"mid"	"mid"
"184"	"P40227"	"low"	"low"
