uniprot_id	disopred3perc	iupredperc	abundance	uniprot_symbols	entrez_id	HI	OE	new_oe	drlps_drivers	drpls_clients	dr_all_phase_sep
A0A023PXA5	5.29	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PXB0	15.45	20.9	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PXB5	0.98	0	1.21	IRC2 YDR112W	NA	NA	NA	NA	NA	NA	NA
A0A023PXB9	0.82	0	1.13	YDR199W	NA	NA	NA	NA	NA	NA	NA
A0A023PXC2	7.82	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PXC7	1.39	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PXD3	14.01	78.5	0.219	YER088C-A	NA	NA	NA	NA	NA	NA	NA
A0A023PXD5	3.67	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PXD9	7.61	30.47	0.526	YFL015W-A	NA	NA	NA	NA	NA	NA	NA
A0A023PXE5	0.85	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PXE8	16.03	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PXF2	2.83	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PXF5	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PXF8	4.08	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PXG3	12.78	9.02	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PXG7	1.98	0.99	1.49	YLR230W	NA	NA	NA	NA	NA	NA	NA
A0A023PXH2	1.8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PXH4	1.37	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PXH5	0	53.19	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PXH6	0.78	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PXH9	0	0	1.53	YDR149C	NA	NA	NA	NA	NA	NA	NA
A0A023PXI0	3.1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PXI4	0	0	1.36	YDR203W	NA	NA	NA	NA	NA	NA	NA
A0A023PXI5	0.53	3.74	1.89	YPR197C	NA	NA	NA	NA	NA	NA	NA
A0A023PXI8	0.95	1.9	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PXJ3	8.69	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PXJ7	1.88	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PXK2	5.72	1.04	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PXK7	4.92	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PXL1	1.52	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PXL7	8.33	0	0.024	YHR056W-A	NA	NA	NA	NA	NA	NA	NA
A0A023PXM2	1.23	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PXM7	4.46	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PXN3	4.72	0	0.203	YIL068W-A	NA	NA	NA	NA	NA	NA	NA
A0A023PXN9	6	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PXP4	4.54	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PXP7	3.78	0	0.157	YML034C-A	NA	NA	NA	NA	NA	NA	NA
A0A023PXQ4	93.9	0.25	1.58	YMR173W-A	NA	NA	NA	NA	NA	NA	NA
A0A023PXQ9	5.88	1.96	1.35	YMR316C-B	YMR316C-B	NA	1	NA	NA	NA	NA
A0A023PYC6	8.65	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PYD0	2.14	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PYD3	7.2	0	1.29	YDR094W	NA	NA	NA	NA	NA	NA	NA
A0A023PYD7	7.55	0	1.54	YDR187C	NA	NA	NA	NA	NA	NA	NA
A0A023PYD9	2.25	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PYE4	0.93	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PYE9	9.28	0	1.46	YER087C-A	NA	NA	NA	NA	NA	NA	NA
A0A023PYF4	8.96	6.2	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PYF7	2.38	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PYG1	1.85	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PYG5	4.62	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PYH0	2.2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PYH5	0.8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PYH8	1.63	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PYI2	8.18	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PYI5	10.52	10.52	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PYJ0	8.33	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PYJ4	6.3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PYJ7	3.44	0	1.21	YMR304C-A	NA	NA	NA	NA	NA	NA	NA
A0A023PYK2	2.7	6.3	1.33	YPR170C	NA	NA	NA	NA	NA	NA	NA
A0A023PZ94	4.9	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PZ99	12.93	12.06	1.55	YDR008C	NA	NA	NA	NA	NA	NA	NA
A0A023PZA4	5.17	1.72	1.39	YDR154C	NA	NA	NA	NA	NA	NA	NA
A0A023PZA9	11.3	6.08	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PZB3	16.66	17.46	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PZB8	1.78	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PZC3	3.53	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PZC7	1.06	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PZD0	2.77	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PZD5	6.53	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PZE1	11.71	0	1.26	YHR063W-A	NA	NA	NA	NA	NA	NA	NA
A0A023PZE2	4.58	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PZE4	30.09	23.3	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PZE6	2.88	0	1.1	YDR048C	NA	NA	NA	NA	NA	NA	NA
A0A023PZE8	4.51	0	1.44	YDR157W	NA	NA	NA	NA	NA	NA	NA
A0A023PZE9	3.25	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PZF2	0.74	0	0.375	YEL009C-A	NA	NA	NA	NA	NA	NA	NA
A0A023PZF3	7.59	3.16	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PZF5	1.83	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PZF9	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PZG0	0.58	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PZG4	6.54	3.73	2.51	YLR236C	NA	NA	NA	NA	NA	NA	1
A0A023PZG5	3.96	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PZG9	1.65	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PZH1	1.69	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PZH4	0.99	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PZH5	12.17	0	1.46	YMR290W-A	NA	NA	NA	NA	NA	NA	NA
A0A023PZH9	1.3	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PZI1	12.82	26.49	0.475	OPI11 YPR044C	NA	NA	NA	NA	NA	NA	NA
A0A023PZI4	4.16	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PZI9	8.28	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PZJ3	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PZJ9	3.25	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PZK4	1.57	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PZK9	1.58	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PZL2	0.8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PZL7	13.44	50.42	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A023PZM3	1.45	0	1.6	YPR050C YP9499.07b	NA	NA	NA	NA	NA	NA	NA
A0A0B7P221	3.57	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A0B7P3V8	29.98	21.19	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1D0CT74	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1D0CT83	1.81	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
A0A1D0CXR0	2.94	2.94	NA	NA	NA	NA	NA	NA	NA	NA	NA
A2P2R3	11.06	1.9	19.1	YMR084W	NA	NA	NA	NA	NA	NA	NA
A5Z2X5	9.72	1.38	3.66	YPR010C-A	NA	NA	NA	NA	NA	NA	NA
D6VPM8	29.05	1.67	2.3	YAR023C	NA	NA	NA	NA	NA	NA	NA
D6VTK4	30.62	16.47	57.7	STE2 YFL026W	NA	NA	NA	NA	NA	NA	NA
D6W196	9.91	3.23	10.7	SAL1 YNL083W N2312	NA	NA	NA	NA	NA	NA	NA
I2HB52	10.6	0	0.024	YBR056W-A	NA	NA	NA	NA	NA	NA	NA
I2HB70	0.97	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O13297	49.72	45.53	55.1	CET1 YPL228W P1433	NA	NA	NA	NA	NA	NA	NA
O13329	32.15	33.56	14.7	FOB1 HRM1 YDR110W YD9727.06	NA	NA	NA	NA	NA	NA	NA
O13511	18.75	46.09	1.32	YAL065C	NA	NA	NA	NA	NA	NA	NA
O13512	10.31	4.76	1.5	YAL064W-B	NA	NA	NA	NA	NA	NA	NA
O13513	0.86	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O13514	4.8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O13515	0.85	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O13516	16.24	25.38	1402	RPS9A RPS13A YS11A YPL081W	NA	NA	NA	NA	NA	NA	NA
O13517	5	0	1.48	YPL102C	NA	NA	NA	NA	NA	NA	NA
O13518	1.43	0.71	NA	NA	NA	NA	NA	NA	NA	NA	NA
O13519	6.55	0	1.42	YPL136W	NA	NA	NA	NA	NA	NA	NA
O13520	4.94	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O13521	1.73	0	1.25	YPL035C	NA	NA	NA	NA	NA	NA	NA
O13522	1.2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O13523	0.53	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O13525	11.94	5.67	11.5	COQ4 YDR204W YD8142.01	NA	NA	NA	NA	NA	NA	NA
O13527	25.41	25.08	23.9	TY1B-A YARCTy1-1 POL YAR009C	NA	NA	NA	NA	NA	NA	NA
O13529	1.98	0	1.53	ECM12 YHR021W-A	NA	NA	NA	NA	NA	NA	NA
O13530	3.36	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O13531	0.92	0	NA	NA	YLR202C	NA	1	NA	NA	NA	NA
O13532	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O13533	4.08	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O13534	0.62	1.86	1.38	YHR214W-A	NA	NA	NA	NA	NA	NA	NA
O13535	33.18	33.12	310	TY1B-H YHRCTy1-1 POL YHR214C-B	NA	NA	NA	NA	NA	NA	NA
O13536	3.88	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O13537	0.84	0	1.33	YHR145C	NA	NA	NA	NA	NA	NA	NA
O13539	8.42	7.27	32.9	THP2 YHR167W	NA	NA	NA	NA	NA	NA	1
O13540	3.87	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O13541	15.51	71.55	1.57	YLR280C	NA	NA	NA	NA	NA	NA	NA
O13542	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O13543	1.83	0	0.148	YLR294C L8003.19A	NA	NA	NA	NA	NA	NA	NA
O13544	1.66	0	1.21	YLR302C	NA	NA	NA	NA	NA	NA	NA
O13545	11.62	4.65	NA	NA	NA	NA	NA	NA	NA	NA	NA
O13546	7.82	0	1.28	YLR232W	NA	NA	NA	NA	NA	NA	NA
O13547	67.22	42.43	1044	CCW14 ICWP SSR1 YLR390W-A YLR391W-A	NA	NA	NA	NA	NA	NA	NA
O13548	4.23	0	1.1	YPR099C P8283.13A	NA	NA	NA	NA	NA	NA	NA
O13549	4.62	0.92	1.47	VPS63 YLR261C	NA	NA	NA	NA	NA	NA	NA
O13550	2.58	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O13553	4.16	0.69	1.42	YLR317W	NA	NA	NA	NA	NA	NA	NA
O13554	0.96	0	1.51	VPS65 YLR322W	NA	NA	NA	NA	NA	NA	NA
O13555	13.6	44.8	1.52	JIP3 YLR331C	NA	NA	NA	NA	NA	NA	NA
O13556	1.48	0	1.86	YLR462W	NA	NA	NA	NA	NA	NA	NA
O13557	10.92	2.18	1.36	YLR463C JND183 L9001	NA	NA	NA	NA	NA	NA	NA
O13558	3.92	0.98	1.25	BSC3 YLR465C	NA	NA	NA	NA	NA	NA	NA
O13559	27.71	14.68	1.72	YRF1-4 YLR466W	NA	NA	NA	NA	NA	NA	NA
O13560	2	0	1.51	YLR444C	NA	NA	NA	NA	NA	NA	NA
O13561	1.7	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O13562	3.1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA
O13563	14.74	18.58	128	RPN13 DAQ1 YLR421C	NA	NA	NA	NA	NA	NA	NA
