mouse	human
A0A087WPF7	Q8WXX7
A0A088MLT8	B3KU38
A0A0A6YY25	B2RXH4
A0A0B4J1F4	Q8NCT1
A0A0B4J1G0	O75015
A0A0B4J1G0	P08637
A0A0M3U1B0	Q5T4T6
A0AUP1	Q8NEF3
A0JLY1	Q0VFZ6
A0JNT9	Q6ZP65
A0JNU3	Q86U10
A0JP43	A4FU69
A0PJN4	A1L167
A0PK84	Q8N966
A1A535	Q14D04
A1A546	Q2M1V0
A1A547	Q96LB9
A1A5B6	Q3MII6
A1E960	A1E959
A1IGU4	A1IGU5
A1KXC4	O60667
A1L0T3	Q8WTU2
A1L314	Q2M385
A1L317	Q2M2I5
A1L3C1	Q6IPT2
A1L3T7	Q96MK2
A1Y9I9	"Q8WZ04,Q96E66"
A1YIY0	Q6DN72
A2A259	Q9P0L9
A2A3V2	Q8WUT9
A2A432	Q13620
A2A4P0	Q14562
A2A559	Q96FM1
A2A591	Q9BYR8
A2A5E6	
A2A5I3	Q9H3Y0
A2A5K6	Q9H4Z2
A2A5N8	Q9Y468
A2A5R2	Q9Y6D5
A2A5X5	A8MUX0
A2A5Z6	Q9HAU4
A2A690	Q9HCD6
A2A699	A8MVW0
A2A6A1	Q9UKJ3
A2A6C4	Q8IUH8
A2A6H3	Q5MNV8
A2A6Q5	P30260
A2A6T1	Q86X02
A2A761	Q49AA0
A2A791	Q5VZL5
A2A7Q9	Q6ZMZ0
A2A7S8	Q9P206
A2A7V7	Q08708
A2A7Y5	Q5JXC2
A2A7Z8	Q5VUY0
A2A825	Q9BU20
A2A863	P16144
A2A870	Q8TES7
A2A884	Q5T1R4
A2A891	Q9Y6Y1
A2A8L1	Q8TDI0
A2A8L5	P10586
A2A8T7	Q6PEX7
A2A8U2	Q5SNT2
A2A8Z1	Q96SU4
A2A935	Q9HAZ2
A2A995	Q5VWT5
A2A9A2	Q96SC8
A2A9C3	Q5T011
A2A9G7	Q6UWV7
A2A9I7	Q96MA1
A2A9Q0	F2Z333
A2A9R3	O15479
A2A9T0	A7MCY6
A2AA28	Q86XA0
A2AAE1	Q2LD37
A2AAJ9	Q5VST9
A2AAX3	Q96M94
A2AAY5	A1X283
A2AB59	Q6ZUM4
A2ABU4	Q5VTT5
A2ABV5	O60244
A2AC93	Q9GZS0
A2ACG1	A0PJX2
A2ACJ2	Q0VG06
A2ACP1	Q5SRH9
A2AD83	Q6ZUT3
A2ADA5	Q8N0Z8
A2ADF7	Q6PIV7
A2ADU8	Q6ZPD8
A2ADU9	Q58HT5
A2ADY9	Q5TDH0
A2ADZ8	Q4KMZ1
A2AE20	Q96QH8
A2AE42	Q8N8Q1
A2AED3	Q5VTL7
A2AEV7	Q96HB5
A2AEY4	Q8IWC1
A2AF47	Q5JSL3
A2AF53	Q8NFB2
A2AFE9	B1ATL7
A2AFR3	Q14CM0
A2AFS3	Q6UXG2
A2AG06	A2RUB1
A2AG50	Q96T17
A2AG58	A2AJT9
A2AGA4	Q9NX52
A2AGB2	Q8N0U7
A2AGH6	Q93074
A2AGL3	Q15413
A2AGT5	Q14008
A2AGX3	Q9NQV5
A2AH22	Q9C0C7
A2AHC3	Q5T5Y3
A2AHG0	O60299
A2AHJ4	Q6RI45
A2AHL1	Q9BYT9
A2AI05	Q9UHB4
A2AI08	Q4KMQ1
A2AIG8	Q96QU6
A2AIL4	Q330K2
A2AIP0	A8MTA8
A2AIV2	Q69YN4
A2AIV8	Q9H257
A2AIW0	Q96C92
A2AJ15	Q9UKM7
A2AJ76	Q8NDA2
A2AJ77	Q9H4Q4
A2AJ88	Q6ZV29
A2AJA7	Q6UXC1
A2AJA9	C9J069
A2AJB1	Q5T5S1
A2AJB2	Q96I45
A2AJI0	Q3KQU3
A2AJK6	Q9P2D1
