symbol	abundance	protein_size
1	COQ9	34.2	260
2	MRPS17	49.9	237
3	RTT109	11.7	436
4	PBI2	127	75
5	YHR022C	1.47	256
6	GAP1	63.6	602
7	SNU56	10.3	492
8	EEB1	5.31	456
9	HSP26	301	214
10	CSS2	1.52	232
11	YDR131C	0.236	556
12	YIL068W-A	0.203	127
13	SLN1	6.67	1220
14	YJL193W	1.42	402
15	BRR1	15	341
16	YPR146C	1.5	109
17	PEA2	62.8	420
18	SRL3	1.56	246
19	YER087C-A	1.46	183
20	RSA3	50.2	220
21	EMC5	88.2	141
22	PDC5	3308	563
23	BRP1	1.46	125
24	SVF1	521	481
25	MAK31	20.3	88
26	YHR165W-A	0.216	103
27	LSM6	10.2	86
28	VTH2	4.35	1549
29	PAU7	1.46	55
30	UTP6	121	440
31	YER159C-A	14.9	440
32	YCR102C	2.81	368
33	PHM7	2.18	991
34	MDE1	13.5	244
35	ALD5	420	520
36	YFR018C	28.1	363
37	YJL113W	0.004	1548
38	OXR1	12.8	273
39	SNF5	16.9	905
40	ENA1	81.1	1091
41	PRY1	18.5	299
42	UPS2	31.4	230
43	PRE9	251	258
44	RBH1	2.31	611
45	PKH1	8.63	766
46	DLD1	145	587
47	RPL40A	420	128
48	ESA1	13.2	445
49	DAD2	15.7	133
50	PTK2	53.1	818
51	ATG16	6.38	150
52	PFK1	1600	987
53	RSC30	18.1	883
54	UAF30	6.68	228
55	SPT4	73.7	102
56	YJL132W	5.86	750
57	YJL127C-B	0.171	52
58	YMR160W	7.62	816
59	SEC5	51.5	971
60	VHS2	32	436
61	YLR467C-A	0.006	160
62	HGH1	209	394
63	KIN28	148	306
64	POP3	19.3	195
65	RIM9	1.57	239
66	YJR154W	12.7	346
67	PHR1	8.13	565
68	YRB30	37.7	440
69	COX15	70.1	486
70	MMO1	1.46	106
71	CDC31	6.2	161
72	PPN1	7.73	674
73	PAC1	2.09	494
74	RRT8	8.93	342
75	YNR021W	360	404
76	MCY1	68.6	393
77	EMC10	49.3	205
78	EPT1	28.4	391
79	SEF1	2.25	1148
80	ATP16	17.1	160
81	GFA1	246	717
82	FOB1	14.7	566
83	YHR213W	1.67	198
84	ARP3	95.6	449
85	HSP33	3	237
86	KRE28	7.94	385
87	VOA1	256	265
88	NAF1	16.4	492
89	KAP114	26	1004
90	RLP24	2.12	199
91	EDS1	2.32	919
92	YNL184C	4.3	108
93	DPH5	124	300
94	SFT2	18.9	215
95	ESC2	15	456
96	YDL159W-A	1.13	43
97	YDR029W	1.33	104
98	RAV2	33.3	351
99	SWI1	8.78	1314
100	URA8	72.1	578
101	SNC1	44.4	117
102	RMR1	15.2	241
103	BCP1	121	283
104	RPC40	242	335
105	YLR053C	1.35	108
106	IPP1	1361	287
107	CEF1	11.4	590
108	YMR119W-A	1.47	124
109	GEP4	1.83	185
110	VMA3	423	160
111	CNM67	11.8	581
112	GOT1	22.6	138
113	MNP1	151	194
114	SAP4	11.6	818
115	GFD2	1.78	566
116	SAP190	12.5	1033
117	PUF2	16.6	1075
118	WBP1	177	430
119	MMT1	47.4	510
120	CTK2	21.4	323
121	DIF1	6.92	133
122	ILV2	633	687
123	GPB2	2.44	880
124	IMG1	49.7	169
125	RPL40B	673	128
126	GID8	23.4	455
127	YBL005W-A	5.31	440
128	YJR061W	1.98	935
129	YAL065C	1.32	128
130	VMA10	371	114
131	PEX34	2.25	144
132	MEF2	19.2	819
133	STE2	57.7	431
134	NDE2	5.35	545
135	YPR003C	4.89	754
136	PTK1	4.08	662
137	ALD4	779	519
138	YDR210W-A	2.95	438
139	NDD1	7.76	554
140	RNH202	23.3	350
141	COS7	4.59	383
142	HXT10	5.41	546
143	YLR227W-B	4.84	1755
